opeid8,award_year,descriptor,raw_values,normalized_values
02166400,2018-2019,school,NATIONAL UNIVERSITY COLLEGE-IBC INSTITUTE | Instituto De Banca Y Comercio,NATIONAL UNIVERSITY COLLEGE IBC INSTITUTE | INSTITUTO DE BANCA Y COMERCIO
02167600,2002-2003,school,KAPLAN COLLEGE | Denver Career College,KAPLAN COLLEGE | DENVER CAREER COLLEGE
02167600,2003-2004,school,KAPLAN COLLEGE | Denver Career College,KAPLAN COLLEGE | DENVER CAREER COLLEGE
02167600,2004-2005,school,KAPLAN COLLEGE | Denver Career College,KAPLAN COLLEGE | DENVER CAREER COLLEGE
02167600,2005-2006,school,KAPLAN COLLEGE | Denver Career College,KAPLAN COLLEGE | DENVER CAREER COLLEGE
02169100,2001-2002,school,DAVIS COLLEGE | PRACTICAL BIBLE COLLEGE,DAVIS COLLEGE | PRACTICAL BIBLE COLLEGE
02169100,2002-2003,school,DAVIS COLLEGE | Practical Bible College,DAVIS COLLEGE | PRACTICAL BIBLE COLLEGE
02169100,2003-2004,school,DAVIS COLLEGE | Practical Bible College,DAVIS COLLEGE | PRACTICAL BIBLE COLLEGE
02169100,2004-2005,school,DAVIS COLLEGE | Practical Bible College,DAVIS COLLEGE | PRACTICAL BIBLE COLLEGE
02170200,1999-2000,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2000-2001,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2001-2002,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2002-2003,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2003-2004,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2004-2005,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
02170200,2005-2006,school,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM | ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO
