family,award_year,record_disposition,record_origin,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,2006-2007,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,53,51,2,184634053.61
grants,2006-2007,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,53,46,7,1901246.0
grants,2006-2007,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,53,11,42,1186448.0
grants,2006-2007,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,53,0,53,
grants,2006-2007,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,53,0,53,
grants,2006-2007,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,200,199,1,1107778167.61
grants,2006-2007,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,200,90,110,11075071.390000002
grants,2006-2007,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,200,48,152,22626314.63
grants,2006-2007,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,200,0,200,
grants,2006-2007,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,200,0,200,
grants,2006-2007,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5250,5250,0,11499505762.810001
grants,2006-2007,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5250,2689,2561,229375223.84999996
grants,2006-2007,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5250,1381,3869,181971944.98
grants,2006-2007,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5250,0,5250,
grants,2006-2007,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5250,0,5250,
grants,2007-2008,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,50,50,0,172701244.5
grants,2007-2008,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,50,44,6,3018277.33
grants,2007-2008,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,50,8,42,1384199.32
grants,2007-2008,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,50,0,50,
grants,2007-2008,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,50,0,50,
