portable_name,canonical_name,variable_label
campus__idx_ef,campus__idx_ef,Campus-based: Idx ef
campus__prch_f,campus__prch_f,Campus-based: Prch f
campus__idx_f,campus__idx_f,Campus-based: Idx f
campus__prch_sfa,campus__prch_sfa,Campus-based: Prch sfa
campus__idx_sfa,campus__idx_sfa,Campus-based: Idx sfa
campus__prch_gr,campus__prch_gr,Campus-based: Prch gr
campus__idx_gr,campus__idx_gr,Campus-based: Idx gr
campus__prch_sa,campus__prch_sa,Campus-based: Prch sa
campus__idx_sa,campus__idx_sa,Campus-based: Idx sa
campus__prch_s,campus__prch_s,Campus-based: Prch s
campus__idx_s,campus__idx_s,Campus-based: Idx s
campus__prch_eap,campus__prch_eap,Campus-based: Prch eap
campus__idx_eap,campus__idx_eap,Campus-based: Idx eap
campus__prch_hr,campus__prch_hr,Campus-based: Prch hr
campus__idx_hr,campus__idx_hr,Campus-based: Idx hr
campus__prch_e12,campus__prch_e12,Campus-based: Prch e12
campus__idx_e12,campus__idx_e12,Campus-based: Idx e12
campus__prch_gr2,campus__prch_gr2,Campus-based: Prch gr2
campus__idx_gr2,campus__idx_gr2,Campus-based: Idx gr2
campus__prch_al,campus__prch_al,Campus-based: Prch al
campus__idx_al,campus__idx_al,Campus-based: Idx al
campus__prch_om,campus__prch_om,Campus-based: Prch om
campus__idx_om,campus__idx_om,Campus-based: Idx om
campus__prchtp_f,campus__prchtp_f,Campus-based: Prchtp f
campus__prch_adm,campus__prch_adm,Campus-based: Prch adm
campus__idx_adm,campus__idx_adm,Campus-based: Idx adm
campus__prch_cos,campus__prch_cos,Campus-based: Prch cos
campus__idx_cos,campus__idx_cos,Campus-based: Idx cos
campus__ipeds_directory_unitid,campus__ipeds_directory_unitid,Campus-based: IPEDS directory UNITID
campus_ipeds_director_7994d19f72,campus__ipeds_directory_match_status,Campus-based: IPEDS directory match status
campus__ipeds_geography_class,campus__ipeds_geography_class,Campus-based: IPEDS geography class
campus_ipeds_crosswal_51a644ecde,campus__ipeds_crosswalk_available,Campus-based: IPEDS crosswalk available
campus_ipeds_crosswal_a91e633d0b,campus__ipeds_crosswalk_site_unitids_json,Campus-based: IPEDS crosswalk site unitids json
campus_ipeds_crosswal_55544472af,campus__ipeds_crosswalk_parent_unitids_json,Campus-based: IPEDS crosswalk parent unitids json
campus_ipeds_director_ca8b275ff5,campus__ipeds_directory_candidate_unitids_json,Campus-based: IPEDS directory candidate unitids json
campus_ipeds_crosswal_7b3ab48590,campus__ipeds_crosswalk_anchor_sensitivity,Campus-based: IPEDS crosswalk anchor sensitivity
campus__fsa_source_identity_kind,campus__fsa_source_identity_kind,Campus-based: FSA source identity kind
campus_ipeds_candidat_975bae290c,campus__ipeds_candidate_unitid_before_descriptor_review,Campus-based: IPEDS candidate UNITID before descriptor review
campus__ipeds_candidate_instnm,campus__ipeds_candidate_instnm,Campus-based: IPEDS candidate instnm
campus__ipeds_candidate_stabbr,campus__ipeds_candidate_stabbr,Campus-based: IPEDS candidate stabbr
campus_ipeds_identity_6623bf16c0,campus__ipeds_identity_geography_conflict,Campus-based: IPEDS identity geography conflict
campus_ipeds_fsa_hd_s_11a3c9ac6c,campus__ipeds_fsa_hd_state_conflict,Campus-based: IPEDS FSA hd state conflict
campus_ipeds_fsa_hd_n_2cb26218d0,campus__ipeds_fsa_hd_name_similarity,Campus-based: IPEDS FSA hd name similarity
campus_ipeds_fsa_hd_n_6ecf7d81ba,campus__ipeds_fsa_hd_name_review_required,Campus-based: IPEDS FSA hd name review required
campus__ipeds_resolution_status,campus__ipeds_resolution_status,Campus-based: IPEDS resolution status
campus_ipeds_annual_i_6394d121b3,campus__ipeds_annual_identity_eligible,Campus-based: IPEDS annual identity eligible
campus_ipeds_identity_7c97892789,campus__ipeds_identity_is_administrative,Campus-based: IPEDS identity is administrative
campus__ipeds_title_iv_status,campus__ipeds_title_iv_status,Campus-based: IPEDS title iv status
campus__ipeds_activity_code,campus__ipeds_activity_code,Campus-based: IPEDS activity code
campus_ipeds_current__50f9ae25cc,campus__ipeds_current_year_active_code,Campus-based: IPEDS current year active code
campus__ipeds_closed_with_data,campus__ipeds_closed_with_data,Campus-based: IPEDS closed with data
campus_ipeds_identity_5e8798951c,campus__ipeds_identity_uses_historical_relation,Campus-based: IPEDS identity uses historical relation
campus_ipeds_identity_0a6883680f,campus__ipeds_identity_strict_contemporaneous,Campus-based: IPEDS identity strict contemporaneous
campus__ipeds_scope_alignment,campus__ipeds_scope_alignment,Campus-based: IPEDS scope alignment
campus_ipeds_has_othe_9ad3bf6fa1,campus__ipeds_has_other_parent_unitid,Campus-based: IPEDS has other parent UNITID
campus_ipeds_componen_c9d5d9e87d,campus__ipeds_component_scope_review_required,Campus-based: IPEDS component scope review required
campus__ipeds_finance_scope,campus__ipeds_finance_scope,Campus-based: IPEDS finance scope
campus_ipeds_finance__6121ef2abc,campus__ipeds_finance_parent_reference_missing,Campus-based: IPEDS finance parent reference missing
campus__ipeds_student_aid_scope,campus__ipeds_student_aid_scope,Campus-based: IPEDS student aid scope
campus_ipeds_student__788f377ddc,campus__ipeds_student_aid_parent_reference_missing,Campus-based: IPEDS student aid parent reference missing
campus_ipeds_fall_enr_feca6b1117,campus__ipeds_fall_enrollment_scope,Campus-based: IPEDS fall enrollment scope
campus_ipeds_fall_enr_826e244f6f,campus__ipeds_fall_enrollment_parent_reference_missing,Campus-based: IPEDS fall enrollment parent reference missing
campus__ipeds_completions_scope,campus__ipeds_completions_scope,Campus-based: IPEDS completions scope
campus_ipeds_completi_e87fa3346f,campus__ipeds_completions_parent_reference_missing,Campus-based: IPEDS completions parent reference missing
campus_ipeds_twelve_m_040426e710,campus__ipeds_twelve_month_enrollment_scope,Campus-based: IPEDS twelve month enrollment scope
campus_ipeds_twelve_m_64b298b959,campus__ipeds_twelve_month_enrollment_parent_reference_missing,Campus-based: IPEDS twelve month enrollment parent reference missing
campus__cw_source_row,campus__cw_source_row,Campus-based: Crosswalk source row
campus__cw_source_path,campus__cw_source_path,Campus-based: Crosswalk source path
campus__cw_source_sha256,campus__cw_source_sha256,Campus-based: Crosswalk source sha256
campus__cw_preliminary,campus__cw_preliminary,Campus-based: Crosswalk preliminary
campus__cw_source_code,campus__cw_source_code,Campus-based: Crosswalk source code
campus__cw_source_method,campus__cw_source_method,Campus-based: Crosswalk source method
campus__cw_ipeds_reporting_code,campus__cw_ipeds_reporting_code,Campus-based: Crosswalk IPEDS reporting code
campus__cw_parent_opeid8,campus__cw_parent_opeid8,Campus-based: Crosswalk parent OPEID8
campus__cw_site_candidate_count,campus__cw_site_candidate_count,Campus-based: Crosswalk site candidate count
campus__cw_primary_unitid,campus__cw_primary_unitid,Campus-based: Crosswalk primary UNITID
campus_cw_additional__6ea85de805,campus__cw_additional_candidate_count,Campus-based: Crosswalk additional candidate count
campus_cw_parent_cand_1668875dda,campus__cw_parent_candidate_count,Campus-based: Crosswalk parent candidate count
campus__cw_has_additional_match,campus__cw_has_additional_match,Campus-based: Crosswalk has additional match
campus__cw_multiple_site_unitids,campus__cw_multiple_site_unitids,Campus-based: Crosswalk multiple site unitids
campus_cw_relation_pa_55a8896450,campus__cw_relation_parse_complete,Campus-based: Crosswalk relation parse complete
campus__cw_site_parse_complete,campus__cw_site_parse_complete,Campus-based: Crosswalk site parse complete
campus__cw_parse_issues_json,campus__cw_parse_issues_json,Campus-based: Crosswalk parse issues json
campus_cw_site_parent_abc8c69125,campus__cw_site_parent_unitids_differ,Campus-based: Crosswalk site parent unitids differ
campus__cw_official_no_match,campus__cw_official_no_match,Campus-based: Crosswalk official no match
campus__cw_has_change_notes,campus__cw_has_change_notes,Campus-based: Crosswalk has change notes
campus__cw_has_prior_id_notes,campus__cw_has_prior_id_notes,Campus-based: Crosswalk has prior id notes
campus__cw_raw_OPEID,campus__cw_raw_OPEID,Campus-based: Crosswalk raw OPEID
campus__cw_raw_IPEDSMatch,campus__cw_raw_IPEDSMatch,Campus-based: Crosswalk raw IPEDSMatch
campus__cw_raw_AddMatch,campus__cw_raw_AddMatch,Campus-based: Crosswalk raw AddMatch
campus__cw_raw_Source,campus__cw_raw_Source,Campus-based: Crosswalk raw Source
campus__cw_raw_PEPSSchname,campus__cw_raw_PEPSSchname,Campus-based: Crosswalk raw PEPSSchname
campus__cw_raw_PEPSLocname,campus__cw_raw_PEPSLocname,Campus-based: Crosswalk raw PEPSLocname
campus__cw_raw_PEPSEligCert,campus__cw_raw_PEPSEligCert,Campus-based: Crosswalk raw PEPSEligCert
