award_year,ipeds_year,unitid,instnm,opeid8,stabbr,city,sector,opeflag,act,cyactive,pset4flg,prch_f,idx_f,prch_sfa,idx_sfa,possible_group_evidence_category,diagnostic_root_fsa_opeids_json,official_observed_main_fsa_opeids_json,official_shared_parent_fsa_opeids_json,official_parent_reference_fsa_opeids_json,all_possible_group_fsa_opeids_json,cw_site_opeids_for_residual_unitid_json,cw_site_parent_opeids_json,cw_site_source_codes_json,cw_site_evidence_has_incomplete_parse,cw_reference_year_available,cw_preliminary_year,assignment_status,residual_type,fsa_observed_first_award_year,fsa_observed_last_award_year,fsa_observed_award_years
2024-2025,2024,420802,Arizona Board of Regents,02598000,AZ,Phoenix,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02598000""]","[""02598000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,428453,Minnesota State Colleges and Universities System Office,00934600,MN,ST PAUL,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00934600""]","[""00934600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,432144,South Orange County Community College District,03343300,CA,Mission Viejo,0,2,A,1,1,1,432144,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03343300""]","[""03343300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,438665,Rancho Santiago Community College District Office,00699100,CA,Santa Ana,0,2,A,1,1,1,438665,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00699100""]","[""00699100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,443021,Dallas Barber & Stylist College,03682400,TX,Dallas,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03682400"", ""03682402"", ""03682406""]","[""03682400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2002-2003,2023-2024,22.0
2024-2025,2024,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,04118000,PA,Pittsburgh,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04118000""]","[""04118000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2010-2011,2020-2021,11.0
2024-2025,2024,444264,Cambridge Technical Institute,03785300,PR,Caguas,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03785300""]","[""03785300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2003-2004,2023-2024,21.0
2024-2025,2024,446978,Colorado State University-System Office,03343700,CO,Denver,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03343700""]","[""03343700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,447795,American Institute of Massage Therapy,03962300,CA,Santa Ana,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03962300""]","[""03962300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2005-2006,2023-2024,19.0
2024-2025,2024,448637,West Hills Community College District,00470000,CA,Coalinga,0,2,A,1,1,1,448637,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00470000""]","[""00470000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,457527,Ambria College of Nursing,04124700,IL,Hoffman Estates,3,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04124700""]","[""04124700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2009-2010,2022-2023,14.0
2024-2025,2024,479992,Brand College,04194600,CA,Glendale,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04194600""]","[""04194600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,,,
2024-2025,2024,480161,Ideal Beauty Academy,04038700,KY,Louisville,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04038700"", ""04038701""]","[""04038700""]","[""2""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2006-2007,2023-2024,18.0
2024-2025,2024,483841,Grace International Beauty School,04223200,NY,Flushing,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04223200""]","[""04223200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2013-2014,2023-2024,11.0
2024-2025,2024,485360,The Vocational Nursing Institute Inc,04239700,TX,Houston,8,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04239700""]","[""04239700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2014-2015,2023-2024,10.0
2024-2025,2024,487889,Regional Center for Border Health,04237700,AZ,Somerton,8,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04237700""]","[""04237700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2015-2016,2020-2021,6.0
2024-2025,2024,488563,California College of Music,04293000,CA,Pasadena,6,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04293000""]","[""04293000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2021-2022,2023-2024,3.0
2024-2025,2024,492078,Chicago Professional Center,04253800,IL,Prospect Heights,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04253800""]","[""04253800""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2023-2024,2023-2024,1.0
2024-2025,2024,494551,IE New York College,04282800,NY,New York,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04282800""]","[""04282800""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,2020-2021,2023-2024,4.0
2024-2025,2024,500379,High Alternative Education,04282600,PR,San Juan,9,1,N,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""04282600""]","[""04282600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,new_institution_in_annual_directory,,,
