file,v2_sha256,v1_sha256,changed_from_v1,csv_member,rows,columns,url,vintage_resolution,has_prch_sfa,has_prch_f
FLAGS2012.zip,4d3915bbc7ecfde335be7f8134d336a4b568b7934436a07b5f8a908858d37739,4d3915bbc7ecfde335be7f8134d336a4b568b7934436a07b5f8a908858d37739,False,flags2012.csv,7735,83,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2012.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2013.zip,daa24c8540d6893b629ab7847c7cff7bcab074cdcdc64405cf8f85f4f81a97cf,daa24c8540d6893b629ab7847c7cff7bcab074cdcdc64405cf8f85f4f81a97cf,False,flags2013.csv,7764,84,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2013.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2014.zip,0a0f6ded7878137da6ae88cb5243c8a0c75d562971d724b73a13d9c61a6fbac6,0a0f6ded7878137da6ae88cb5243c8a0c75d562971d724b73a13d9c61a6fbac6,False,flags2014.csv,7687,96,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2014.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2015.zip,b3d57a747601beae7eb4d9b300933e6a698c3bbaa4d400ad0000eb138f53839d,b3d57a747601beae7eb4d9b300933e6a698c3bbaa4d400ad0000eb138f53839d,False,flags2015.csv,7647,109,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2015.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2016.zip,dcd21b11ab3c2a67f42878bd5066a261c456c71e2d7aea95a9cde40f080cf4b8,dcd21b11ab3c2a67f42878bd5066a261c456c71e2d7aea95a9cde40f080cf4b8,False,flags2016.csv,7521,104,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2017.zip,39cde977c1da45f07086f6aa33b6f0111cc51ab0c0ae6ee7ef9507c81b079424,39cde977c1da45f07086f6aa33b6f0111cc51ab0c0ae6ee7ef9507c81b079424,False,flags2017.csv,7153,104,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2017.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2018.zip,1e54a393ae7ca71436e17b5be7c4a2f104d1dd966971d671e02cc032920754b4,1e54a393ae7ca71436e17b5be7c4a2f104d1dd966971d671e02cc032920754b4,False,flags2018.csv,6857,104,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2019.zip,369a6c1968801f8a936bc9506dee70d7f3029bd00a3d32704710dcb88c845072,369a6c1968801f8a936bc9506dee70d7f3029bd00a3d32704710dcb88c845072,False,flags2019.csv,6559,107,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2020.zip,b5f2474399523eb1028938d188dd1d41a2dea9b329d44b9024e92a8b085f645a,b5f2474399523eb1028938d188dd1d41a2dea9b329d44b9024e92a8b085f645a,False,flags2020.csv,6440,111,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2021.zip,0304339c403823d7900169906c564b60b951e2b85c95d9a4640d6b9898bf4d2f,0304339c403823d7900169906c564b60b951e2b85c95d9a4640d6b9898bf4d2f,False,flags2021.csv,6289,111,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2021.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2022.zip,85c10ad91d332165c51a0c5ac834244e53fff0b1d09223ca6066a986fe75cdbb,85c10ad91d332165c51a0c5ac834244e53fff0b1d09223ca6066a986fe75cdbb,False,flags2022.csv,6256,114,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2022.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2023.zip,77f23ec720ab080284ad48448ccdd819da990efe0e152990054fc0d22e5a601e,df763ac04b15821bbcaa1dac238cbea9c2d88a5ae1b3532e2d1cd90489c8e3d3,True,flags2023.csv,6163,114,https://nces.ed.gov/ipeds/complete-data-files/FLAGS2023.zip,current_complete_data_files_endpoint,True,True
