opeid8,unitid,school,ipeds_instnm,state,ipeds_stabbr,ipeds_resolution_status,descriptor_review_required,cw_source_code,first,last,years,similarity,official_normalization_similarity
02531800,380456,Paul Mitchell The School Costa Mesa,Paul Mitchell the School-Provo,CA,UT,official_site_and_directory_agree,False,2.0,2016-2017,2016-2017,1,0.6976744186046512,0.8
00461700,156736,NATIONAL COLLEGE OF BUSINESS AND TECHNOLOGY,FUGAZZI COLLEGE OF BUSINESS AND TECHNOLOGY-LEXINGT,TN,KY,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.6984126984126984,0.7956989247311828
02079400,443678,EMPIRE BEAUTY SCHOOL,Empire Beauty School-Framingham,PA,MA,official_site_and_directory_agree,False,2.0,2017-2018,2017-2018,1,0.7027027027027027,0.7843137254901961
03010800,216418,FORTIS INSTITUTE,Fortis Institute-Erie,AL,PA,official_site_and_directory_agree,False,2.0,2017-2018,2017-2018,1,0.7058823529411765,0.8648648648648649
03010800,216418,Fortis Institute,Fortis Institute-Erie,AL,PA,official_site_and_directory_agree,True,2.0,2016-2017,2016-2017,1,0.7058823529411765,0.8648648648648649
00458609,181242,KAPLAN UNIVERSITY - LINCOLN,Hamilton College-Lincoln Campus,IA,NE,official_site_and_directory_agree,False,1.0,2007-2008,2007-2008,1,0.7333333333333333,0.4642857142857143
02119200,224183,COURT REPORTING INSTITUTE OF ST LOUIS,Court Reporting Institute of Dallas,MO,TX,official_site_and_directory_agree,True,1.0,2013-2014,2013-2014,1,0.7391304347826086,0.8333333333333334
02119200,224183,Court Reporting Institute of St Louis,Court Reporting Institute of Dallas,MO,TX,official_site_and_directory_agree,False,2.0,2014-2015,2014-2015,1,0.7391304347826086,0.8333333333333334
03490300,171465,PAUL MITCHELL THE SCHOOL CHICAGO,Paul Mitchell the School-Escanaba,IL,MI,official_site_and_directory_agree,False,2.0,2014-2015,2015-2016,2,0.7441860465116279,0.8307692307692308
03490300,171465,PAUL MITCHELL THE SCHOOL CHICAGO,Paul Mitchell the School-Escanaba,IL,MI,official_site_and_directory_agree,False,1.0,2013-2014,2013-2014,1,0.7441860465116279,0.8307692307692308
00177201,135610,TRINITY INTERNATIONAL UNIVERSITY - SOUTH FLORIDA CAMPUS,Trinity International University,IL,FL,official_site_and_directory_agree,False,1.0,2006-2007,2009-2010,4,0.75,0.7529411764705882
02116000,420495,Sanford-Brown College,Sanford-Brown College-Atlanta,TX,GA,official_site_and_directory_agree,False,2.0,2015-2016,2016-2017,2,0.7647058823529411,0.84
02116000,420495,Sanford-Brown College,Sanford-Brown College-Atlanta,TX,GA,official_site_and_directory_agree,True,2.0,2014-2015,2014-2015,1,0.7647058823529411,0.84
03862600,482228,VERITAS BAPTIST COLLEGE,Virginia Baptist College,IN,VA,official_site_and_directory_agree,False,1.0,2017-2018,2017-2018,1,0.7741935483870968,0.851063829787234
02615000,404514,Sanford-Brown College,Sanford-Brown College-Dallas,NY,TX,official_site_and_directory_agree,False,2.0,2015-2016,2016-2017,2,0.7878787878787878,0.8571428571428571
02615000,404514,Sanford-Brown College,Sanford-Brown College-Dallas,NY,TX,official_site_and_directory_agree,True,2.0,2014-2015,2014-2015,1,0.7878787878787878,0.8571428571428571
02616400,187161,Sanford-Brown Institute,Sanford-Brown Institute-Iselin,FL,NJ,official_site_and_directory_agree,False,1.0,2010-2011,2010-2011,1,0.7878787878787878,0.8679245283018868
02248200,385549,MILAN INSTITUTE OF COSMETOLOGY,Milan Institute of Cosmetology-Amarillo,NV,TX,official_site_and_directory_agree,False,2.0,2015-2016,2016-2017,2,0.7906976744186046,0.8695652173913043
02248200,385549,MILAN INSTITUTE OF COSMETOLOGY,Milan Institute of Cosmetology-Amarillo,NV,TX,official_site_and_directory_agree,False,4.0,2017-2018,2017-2018,1,0.7906976744186046,0.8695652173913043
00945101,204316,BROWN MACKIE COLLEGE - BROWN MACKIE COLLEGE - NORTH CANTON,Brown Mackie College-North Canton,AZ,OH,official_site_and_directory_agree,False,1.0,2007-2008,2007-2008,1,0.7936507936507936,0.7586206896551724
03747300,443702,BEXLEY HALL SEMINARY,Bexley Hall Episcopal Seminary,OH,NY,official_site_and_directory_agree,False,1.0,2005-2006,2007-2008,3,0.8,0.8
03747300,443702,BEXLEY HALL SEMINARY,BEXLEY HALL EPISCOPAL SEMINARY,OH,NY,official_site_and_directory_agree,False,1.0,2004-2005,2004-2005,1,0.8,0.8
01021700,215868,INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY,INTERNATIONAL ACADEMY OF DESIGN & TECH-PITTSBURGH,TN,PA,official_site_and_directory_agree,True,1.0,2001-2002,2001-2002,1,0.8192771084337349,0.845360824742268
00267808,201469,BRYANT & STRATTON COLLEGE - PARMA,BRYANT AND STRATTON COLLEGE,NY,OH,official_site_alias_annual_unitid_verified,False,3.0,2002-2003,2003-2004,2,0.8333333333333334,0.9
00267813,239929,BRYANT & STRATTON COLLEGE - MILWAUKEE DOWNTOWN,BRYANT AND STRATTON COLLEGE-MILWAUKEE,NY,WI,official_site_and_directory_agree,False,1.0,2004-2005,2004-2005,1,0.847457627118644,0.891566265060241
02113600,438586,American InterContinental University,American Intercontinental University-Dunwoody Campus,IL,GA,official_site_and_directory_agree,False,4.0,2008-2009,2008-2009,1,0.847457627118644,0.8181818181818182
02502700,138594,Advanced Career Training,ADVANCED CAREER TRAINING-ATLANTA CAMPUS,FL,GA,official_site_and_directory_agree,True,1.0,2002-2003,2004-2005,3,0.8571428571428571,0.7619047619047619
02502700,138594,Advanced Career Training,Advanced Career Training-Atlanta Campus,FL,GA,official_site_and_directory_agree,False,1.0,2006-2007,2008-2009,3,0.8571428571428571,0.7619047619047619
02502700,138594,Advanced Career Training,Advanced Career Training-Atlanta Campus,FL,GA,official_site_and_directory_agree,True,1.0,2005-2006,2005-2006,1,0.8571428571428571,0.7619047619047619
01293200,227058,TINT SCHOOL OF MAKEUP & COSMETOLOGY,Tint School of Makeup and Cosmetology-Irving,WA,TX,official_site_and_directory_agree,False,2.0,2017-2018,2017-2018,1,0.8679245283018868,0.9135802469135802
00267811,231785,BRYANT & STRATTON BUSINESS INSTITUTE - VIRGINIA BEACH,BRYANT AND STRATTON COLLEGE-VIRGINIA BEACH,NY,VA,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2001-2002,2,0.8695652173913043,0.7789473684210526
03010400,158617,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,CRESCENT CITY BARTENDING SCHOOL,NV,LA,official_site_and_directory_agree,True,1.0,2000-2001,2001-2002,2,0.8727272727272727,0.631578947368421
03010400,158617,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,Crescent City Bartending School,LA,NV,official_site_and_directory_agree,False,1.0,2006-2007,2007-2008,2,0.8727272727272727,0.631578947368421
