opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
02108200,2007-2008,Brown Mackie College-Louisville,KY,40219-1916,,no_exact_match,0,ambiguous_or_unmatched,2007,157599,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02108200,False,Brown Mackie College-Louisville,Brown Mackie College-Louisville,Brown Mackie College-Louisville,Yes [YPY],1,02108200|02616204|7|20080527,02108200,,both,unique_official_site_match,KY,False
02110501,2000-2001,ART INSTITUTE OF CHARLOTTE (THE) - BROWN MACKIE COLLEGE-ATLANTA,NC,,,no_exact_match,1,ambiguous_or_unmatched,2000,197832,1,ipeds_header_match,1.0,0.0,True,True,1,02110500,False,Art Institute of Charlotte (The),Art Institute of Charlotte (The) - Brown Mackie College-Atlanta,THE ART INSTITUTE OF CHARLOTTE,Yes,1,-2,-2,,both,unique_official_site_match,NC,False
02110501,2001-2002,ART INSTITUTE OF CHARLOTTE (THE) - BROWN MACKIE COLLEGE-ATLANTA,NC,,,no_exact_match,1,ambiguous_or_unmatched,2001,197832,1,ipeds_header_match,1.0,0.0,True,True,1,02110500,False,Art Institute of Charlotte (The),Art Institute of Charlotte (The) - Brown Mackie College-Atlanta,THE ART INSTITUTE OF CHARLOTTE,Yes,1,-2,02110501,,both,unique_official_site_match,NC,False
02110501,2002-2003,ART INSTITUTE OF CHARLOTTE (THE) - BROWN MACKIE COLLEGE-ATLANTA,NC,,,no_exact_match,1,ambiguous_or_unmatched,2002,197832,1,ipeds_header_match,1.0,0.0,True,True,1,02110500,False,Art Institute of Charlotte (The),Art Institute of Charlotte (The) - Brown Mackie College-Atlanta,THE ART INSTITUTE OF CHARLOTTE,Yes,1,-2,02110501,,both,unique_official_site_match,NC,False
02110501,2003-2004,ART INSTITUTE OF CHARLOTTE (THE) - BROWN MACKIE COLLEGE-ATLANTA,NC,,,no_exact_match,1,ambiguous_or_unmatched,2003,197832,1,ipeds_header_match,1.0,0.0,True,True,1,02110500,False,Art Institute of Charlotte (The),Art Institute of Charlotte (The) - Brown Mackie College-Atlanta,ART INSTITUTE OF CHARLOTTE,Yes,1,-2,02110501,,both,unique_official_site_match,NC,False
02118700,2000-2001,LONG ISLAND COLLEGE HOSPITAL - SCHOOL OF NURSING,NY,11201-6001,,no_exact_match,2,ambiguous_or_unmatched,2000,192475,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02118700,False,Long Island College Hospital - School of Nursing,Long Island College Hospital - School of Nursing,LONG ISLAND COLLEGE HOSPITAL SCHOOL OF NURSING,Yes,1,-2,-2,,both,unique_official_site_match,NY,False
02118700,2001-2002,LONG ISLAND COLLEGE HOSPITAL - SCHOOL OF NURSING,NY,11201,,no_exact_match,2,ambiguous_or_unmatched,2001,192475,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02118700,False,Long Island College Hospital - School of Nursing,Long Island College Hospital - School of Nursing,LONG ISLAND COLLEGE HOSPITAL SCHOOL OF NURSING,Yes,1,-2,02118700,,both,unique_official_site_match,NY,False
02120703,2000-2001,SAN JOAQUIN VALLEY COLLEGE - BAKERSFIELD,CA,,,no_exact_match,3,ambiguous_or_unmatched,2000,122694,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02120700,False,San Joaquin Valley College,San Joaquin Valley College - Bakersfield,SAN JOAQUIN VALLEY COLLEGE,Yes,1,-2,-2,,both,unique_official_site_match,CA,False
02154700,2001-2002,MIAMI TECHNICAL INSTITUTE,FL,33168,,no_exact_match,1,ambiguous_or_unmatched,2001,423139,1,ipeds_header_match,1.0,0.0,True,True,1,02154700,False,Miami Technical Institute,Miami Technical Institute,MIAMI TECHNICAL INSTITUTE,No,9,-2,02154700,,both,unique_official_site_match,FL,False
02203400,2011-2012,NEVADA REGIONAL TECHNICAL CENTER,MO,64772-1298,,no_exact_match,1,ambiguous_or_unmatched,2011,417673,1,ipeds_header_match,1.0,0.0,True,True,1,02203400,False,Nevada Regional Technical Center,Nevada Regional Technical Center,Nevada Regional Technical Center,Yes [YPY],3,-2,02203400,,both,unique_official_site_match,MO,False
